"status","text","slug","src"
100,"Continue","100-continue","http://httpstatusdogs.com/wp-content/uploads/100-300x230.jpg"
200,"OK","200-ok","http://httpstatusdogs.com/wp-content/uploads/200-300x230.jpg"
201,"Created","201-created","http://httpstatusdogs.com/wp-content/uploads/201-300x230.jpg"
202,"Accepted","202-accepted","http://httpstatusdogs.com/wp-content/uploads/2011/12/2021-300x230.jpg"
203,"Non-Authoritative Information","203-non-authoritative-information","http://httpstatusdogs.com/wp-content/uploads/2011/12/2031-300x230.jpg"
204,"No Content","204-no-content","http://httpstatusdogs.com/wp-content/uploads/2011/12/2041-300x230.jpg"
206,"Partial Content","206-partial-content","http://httpstatusdogs.com/wp-content/uploads/2011/12/206-300x230.jpg"
207,"Multi-Status","207-multi-status","http://httpstatusdogs.com/wp-content/uploads/207-300x230.jpg"
208,"Already Reported","208-already-reported","http://httpstatusdogs.com/wp-content/uploads/208-300x230.jpg"
226,"IM Used","226-im-used","http://httpstatusdogs.com/wp-content/uploads/226-300x230.jpg"
300,"Multiple Choices","300-multiple-choices","http://httpstatusdogs.com/wp-content/uploads/300-300x230.jpg"
301,"Moved Permanently","301-moved-permanently","http://httpstatusdogs.com/wp-content/uploads/2011/12/301-300x230.jpg"
302,"Found","302-found","http://httpstatusdogs.com/wp-content/uploads/2011/12/302-300x230.jpg"
303,"See Other","303-see-other","http://httpstatusdogs.com/wp-content/uploads/2011/12/303-300x230.jpg"
304,"Not Modified","304-not-modified","http://httpstatusdogs.com/wp-content/uploads/2011/12/304-300x230.jpg"
305,"Use Proxy","305-use-proxy","http://httpstatusdogs.com/wp-content/uploads/2011/12/305-300x230.jpg"
306,"Switch Proxy","306-switch-proxy","http://httpstatusdogs.com/wp-content/uploads/306-300x230.jpg"
307,"Temporary Redirect","307-temporary-redirect","http://httpstatusdogs.com/wp-content/uploads/307-300x230.jpg"
308,"Permanent Redirect","308-permanent-redirect","http://httpstatusdogs.com/wp-content/uploads/308-300x230.jpg"
400,"Bad Request","400-bad-request","http://httpstatusdogs.com/wp-content/uploads/400-300x230.jpg"
401,"Unauthorized","401-unauthorized","http://httpstatusdogs.com/wp-content/uploads/401-300x230.jpg"
402,"Payment Required","402-payment-required","http://httpstatusdogs.com/wp-content/uploads/402-300x230.jpg"
403,"Forbidden","403-forbidden","http://httpstatusdogs.com/wp-content/uploads/2011/12/403-300x230.jpg"
404,"Not Found","404-not-found","http://httpstatusdogs.com/wp-content/uploads/2011/12/404-300x230.jpg"
405,"Method Not Allowed","405-method-not-allowed","http://httpstatusdogs.com/wp-content/uploads/2011/12/405-300x230.jpg"
406,"Not Acceptable","406-not-acceptable","http://httpstatusdogs.com/wp-content/uploads/2011/12/406-300x230.jpg"
407,"Proxy Authentication Required","407-proxy-authentication-required","http://httpstatusdogs.com/wp-content/uploads/407-300x230.jpg"
408,"Request Timeout","408-request-timeout","http://httpstatusdogs.com/wp-content/uploads/2011/12/408-300x230.jpg"
409,"Conflict","409-conflict","http://httpstatusdogs.com/wp-content/uploads/409-300x230.jpg"
410,"Gone","410-gone","http://httpstatusdogs.com/wp-content/uploads/2011/12/410-300x230.jpg"
411,"Length Required","411-length-required","http://httpstatusdogs.com/wp-content/uploads/2011/12/411-300x230.jpg"
412,"Precondition Failed","412-precondition-failed","http://httpstatusdogs.com/wp-content/uploads/412-300x230.jpg"
413,"Request Entity Too Large","413-request-entity-too-large","http://httpstatusdogs.com/wp-content/uploads/2011/12/413-300x230.jpg"
414,"Request-URI Too Long","414-request-uri-too-long","http://httpstatusdogs.com/wp-content/uploads/2011/12/414-300x230.jpg"
416,"Requested Range Not Satisfiable","416-requested-range-not-satisfiable","http://httpstatusdogs.com/wp-content/uploads/2011/12/416-300x230.jpg"
417,"Expectation Failed","417-expectation-failed","http://httpstatusdogs.com/wp-content/uploads/2011/12/417-300x230.jpg"
418,"I&#8217;m a teapot","418-im-a-teapot","http://httpstatusdogs.com/wp-content/uploads/2011/12/418-300x230.jpg"
420,"Enhance Your Calm","420-enhance-your-calm","http://httpstatusdogs.com/wp-content/uploads/420-300x230.jpg"
422,"Unprocessable Entity","422-unprocessable-entity","http://httpstatusdogs.com/wp-content/uploads/2011/12/422-300x230.jpg"
